AAKAAR MEDICAL TECH,CONCEPT PHARMA,JANSEEN,NOVO NORDISK,SOMATICO,VENUS  REMEDIES,APOLLO DIAGNOSTICS,SMITHA HOSPITAL
AMBIENCE BIOMEDICS,ELAN PHARMA,LAMDA THERAPEUTICS RESEARCH,PHARMED LTD,THEMIS MEDICARE,DELVIN FORMULATIONS,TROIKKA,
AMERICAN ONCOLOGY INSTITUTE,ELBORA,LARK LABORATORIES,PHOENIX REMEDIES,TIME TECH PHARMA,SEM DOC LABS PVT LTD,AKUMENTIS PHARMACEUTICALS,
AMOGH PHARMA,ELBRIT LIFESCIENCES,LAXO MEDICARE P LTD,PHYLAMBIN PHARMA,TORRENSE HEALTHCARE,DKT HEALTHCARE,AGILUS PATHLABS LTD,
ANAX LIFESCIENCE P LTD,ELDWIN PHARMA,LEEFORD HEALTHCARE,PIRAMAL HEALTHCARE,TORRENT PHARMA,OMENTA PHARMA,MEDICAL TRUST HOSPITAL,
ANCHEM LAB,ELIXIR THERAPEUTICS,LEMFORD BIOTECH,PIXCHEM HEALTHCARE,TRIGAT LIFE SCIENCE,VIBCARE PHARMA,LISSIE HOSPITAL,
ANCIL PHARMA,EMCURE PHARMA,LINCOLN PHARMA,PRAISE PHARMACEUTICALS,TRIREME LIFE SCIENCES P LTD,VANMED,ERNAKULAM MEDICAL CENTRE,
ANG HEALTH CARE,ENBELL PHARMA,LINUX LABORATORIES,PRECIA PHARMA,TRITON HEALTHCARE,RAFAI PHARMACEUTICALS,GAUTHAM HOSPITAL,
ANGLO FRENCH DRUGS,ENCORE LIFE SCIENCES,LIVEON HEALTHCARE,PRISM LIFE SCIENCE,TROIKAA PHARMA,GYNO PHARMA,RAJAGIRI HOSPITAL,
ANTHEM BIOPHARMA,ERGOS LIFE SCIENCES,LIVIDUS PHARMA,PRISTINE ORGANICS,TRUE DRUG PHARMA P LTD,EAST INDIA,WELCARE HOSPITAL,
APEX LAB,ERINLE PHARMA,LLOYD HEALTHCARE,PRISTINE PEARL,TTK HEALTHCARE,KARISCA HEALTHCARE,SPECIALIST HOSPITAL,
APPLE THERAPEUTICS,ERIS LIFE SCIENCES,LOK BETA PHARMACEUTICALS,PROCTER & GAMBLE,TYNOR ORTHOTICS,INZPERA (TATA GROUP),KINDER HOSPITAL,
APRICA HEALTHCARE,ESKAG PHARMA,LUCENT LABS,PROINDIA HEALTHCARE,ULTERIUS PHARMACEUTICALS,MED SMILE PHARMA,CITY HOSPITAL,
APSOLABS P LTD,ETHION HEALTHCARE ,LUNDBECK INDIA,PRS LIFE SCIENCES,UMANO HEALTHCARE,ZEE LABORATORIES,COCHIN HOSPITAL,
AREX LABS,EXELTIS INIDA,LUPIN LTD,PSYCHOTROPICS INDIA,UNITED BIOTECH,MORPHILL HEALTHCARE P LTD,INDIRA GANDHI HOSPITAL,
ARINNA LIFESCIENCES,EXIMIUS,LYKA LABS,PULSE PHARMA,UNIVENTIS MEDICARE LTD,GLAND PHARMA,LOURDES HOSPITAL,
ARISTO PHARMA,EYECARE KILITICH,MACMILLON PHARMA,PUREGEN HEALTHCARE,UNIORANGE LIFE CARE P LTD,AMENTUM PHARMA,RENAI MEDICITY,
ARKAS CV P LTD,FDC LTD,MACLEODS,Q CHECK PHARMA,UNISON PHARMA,RBIN LABORATORIES P LTD,VPS LAKESHORE,
ARNVIS PHARMA,FINEX HEALTH,MANEESH PHARMA,QPI,UNIMARCK HEALTHCARE,SMURUTHI ORGANICS,KRISHNA HOSPITAL,
ARRENCIA BIOTECH,FIXDERMA INDIA,MANKIND PHARMA,QUEST BIOTECH,UNIMARCK PHARMA,EMBIOTIC LABS,AMRITA MEDICAL SCIENCE,
ARYA VAIDYA PHARMACY,FLAMINGO PHARMA,MAPHIN PHARMA,RAPROSS PHARMA,UNIZA HEALTHCARE,KARUP PHARMA,SREE SUCHEENDRA HOSPITAL,
ASG EYE HSOPITAL,FOREGEN HEALTHCARE,MAPRA LABS,RAPTAKOS BRETT AND CO LTD,URSA PHARMA,DRUPEL PHARMA,VIJAYALASHMI MEDICAL CENTRE,
